"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RNA_DEGRADATION","KEGG_RNA_DEGRADATION",55,-0.360374112622897,-2.31248296533509,2.53709050173052e-05,0.000290612184743678,0.000177232159451032,4838,"tags=58%, list=29%, signal=41%","11044/11340/6499/51690/27258/9337/27257/51010/55802/3329/9125/10200/118460/3313/51691/10438/11157/4849/51013/80349/23644/84186/4850/57472/64895/219988/22803/5394/10914/29883/23019/167227"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",105,-0.290794404858193,-2.22658285596192,5.89796491112186e-05,0.000619286315667795,0.000377676700449031,3466,"tags=42%, list=21%, signal=33%","4794/11108/5295/10000/581/5580/5598/2309/387/7189/5296/9261/7532/5607/998/10818/7529/3654/397/25/5879/817/1432/5170/2932/10019/801/51135/8767/5594/5293/468/5604/7533/8660/2889/23533/1399/4893/5894/5906/7531/7534/805"
"KEGG_INSULIN_SIGNALING_PATHWAY","KEGG_INSULIN_SIGNALING_PATHWAY",111,-0.27574645608405,-2.14458293514277,8.09849443126069e-05,0.00078493099872219,0.000478696431969256,3229,"tags=40%, list=20%, signal=32%","5295/10000/3098/6198/79660/5566/2997/5296/1977/57521/7248/5509/31/5571/9470/5567/3635/5170/2203/2932/2308/23265/5256/5836/867/5576/8569/801/5594/10211/5293/2475/3643/5604/5770/8660/2889/23533/1399/4893/5894/6194/5501/805"
"KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION",43,-0.363143946614079,-2.15809188720329,0.0002103287560732,0.0018929588046588,0.0011544360295747,4205,"tags=56%, list=26%, signal=42%","7381/7171/7388/1349/483/7385/4519/27089/29796/1340/7386/9167/10479/1329/10975/1345/1347/476/4512/1350/1337/488/7170/1327"
"KEGG_LYSOSOME","KEGG_LYSOSOME",111,-0.264662621877012,-2.05837982655551,0.000229723679713551,0.00192967890959383,0.00117683007853258,8276,"tags=68%, list=50%, signal=34%","10239/968/10577/23431/5641/6448/411/130340/54/533/23659/537/1513/1174/535/10312/164/4668/1512/3073/1777/1514/2760/2629/10717/285362/4891/2517/8218/1509/2581/138050/5538/11154/410/51606/9741/7805/256471/175/2588/3074/950/427/2990/2720/1211/26088/23545/1520/5660/1203/4126/3920/1519/22901/1522/8943/4864/23163/6556/1176/9583/3423/26985/3916/23062/8905/162/2799/967/1075/3988/8763/1508/1200"
"KEGG_PATHWAYS_IN_CANCER","KEGG_PATHWAYS_IN_CANCER",227,-0.212564456783748,-1.90334351576004,0.000271409956747233,0.00213735340938446,0.001303482029115,6849,"tags=56%, list=42%, signal=33%","6772/2034/355/5337/6789/4286/5970/11186/54205/6934/5900/4436/8554/7188/5599/9134/596/3066/3912/54583/2335/5578/2885/4437/2535/1612/3091/369/5468/8321/1030/8517/27148/1441/6257/7855/2353/1856/1870/868/5294/26060/5467/5371/6502/1438/8312/613/2322/2735/3551/3480/8643/3728/675/51588/1499/112398/5295/329/10000/330/861/5747/8030/581/3065/637/6921/1857/51684/387/5899/4193/7189/5296/1488/10342/7428/998/7422/10928/3326/841/7704/7184/4292/836/1021/5898/2271/9978/1436/25/5879/7040/6923/2932/9063/2308/1027/5728/867/1026/5594/5293/2475/5604/6776/7046/5914/23533/5579/405/5743/1399/4893/5894/6777/83593/8031/3320/7170/7048/6774/3576"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION",44,-0.370941169464997,-2.21969953550274,0.000377590207321586,0.00279860977191293,0.00170675449749076,7176,"tags=75%, list=44%, signal=42%","71/533/5336/29927/537/535/10312/109/90423/5578/5613/10952/11015/9296/6558/51606/523/5566/529/245973/23545/528/9414/51382/9601/23480/5567/11014/526/5579/9550/8992/30001"
"KEGG_ERBB_SIGNALING_PATHWAY","KEGG_ERBB_SIGNALING_PATHWAY",71,-0.29263849962093,-2.01757236072384,0.000434766147863012,0.00304336303504109,0.00185601922771929,3229,"tags=41%, list=20%, signal=33%","5295/10000/5747/6198/3084/374/5296/1839/27/6416/25/817/2932/1027/867/1026/2069/5594/5293/2475/5604/6776/23533/5579/1399/4893/5894/6777/5058"
"KEGG_APOPTOSIS","KEGG_APOPTOSIS",80,-0.294938495576946,-2.10190479093741,0.000469841615431308,0.00311579176549183,0.0019001904668413,6870,"tags=65%, list=42%, signal=38%","1439/5530/355/3656/5970/23052/54205/596/5573/5613/11213/8794/472/839/1676/8517/3553/1677/3556/840/9941/4615/5577/5294/9131/3551/317/3554/9020/5295/329/10000/330/581/637/5566/5533/5296/8837/841/3654/836/5567/5576/5532/51135/5293/8795/23533/7132/8743/824"
"KEGG_TIGHT_JUNCTION","KEGG_TIGHT_JUNCTION",82,-0.278783952702079,-1.99744936272353,0.000497751317918644,0.00313583330288745,0.001912412958319,3994,"tags=45%, list=24%, signal=34%","81/1459/8573/8531/4627/6237/2773/2037/1499/10000/5580/5581/5583/4636/387/64398/6709/998/5519/60412/9414/55844/103910/1460/8189/5516/1457/5728/50848/87/2035/5579/10627/4893/9218/5515/3059"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",89,-0.269421506530035,-1.97337921502658,0.000681726000296207,0.00409035600177724,0.00249453624168537,7111,"tags=62%, list=43%, signal=35%","3055/5336/10095/23396/5337/8611/7409/65108/4651/5578/9103/81873/2213/1785/1794/10163/5294/3985/8395/8976/3984/10109/10552/5295/10000/2214/7410/6198/2934/5580/5581/2212/5296/998/8394/9846/5879/653361/3635/7454/6850/2209/10059/5594/5293/5604/4082/23533/5579/1399/382/5894/5058/10094/10092"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",82,-0.263695551631537,-1.88934300720788,0.0013434101752323,0.0076940764581486,0.00469229391349079,4398,"tags=46%, list=27%, signal=34%","5294/7852/3684/81/5908/4267/1500/2773/1499/5295/7410/5747/2185/4636/387/3383/4478/4689/5296/3676/998/6494/103910/7430/5879/653361/1432/1536/50848/87/5293/4688/23533/5579/10627/83593/5906/7414"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",44,-0.340133231975282,-2.03534586930184,0.00148436699609333,0.00813174963077218,0.00495921238969398,5675,"tags=61%, list=35%, signal=40%","7277/5578/81873/4690/81027/203068/7099/8976/8440/10109/1499/10383/10552/84617/387/7100/998/7430/25/2534/929/7454/9181/10094/10092/3059/7534"
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS",51,-0.310221005442126,-1.94209558249293,0.00161583994975513,0.00848315973621445,0.00517352264614582,3148,"tags=45%, list=19%, signal=37%","4627/3113/637/1981/3127/3383/3123/841/27/1604/836/25/3109/5879/2534/1982/3134/3122/3115/3106/3105/3107/3133"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",147,-0.217402892909819,-1.79203457640696,0.0018557108788866,0.00935278282958849,0.00570386922773567,5951,"tags=50%, list=36%, signal=32%","3678/1445/2335/3672/22808/1730/79837/5062/369/81873/55845/5962/23365/10163/4628/5294/56034/3985/8395/8976/3684/81/3695/4627/3984/6237/10109/50649/10552/5295/7410/5747/3682/2934/4636/2768/387/4478/5296/3676/998/7074/8394/103910/7430/54434/5879/7114/9459/929/89846/10672/7454/5305/9138/87/1729/8874/5594/5293/5604/3071/3687/23533/10627/1399/4893/5894/5501/5058/10094/7414/10092"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",36,-0.357382790877547,-2.01491015928962,0.00208582747251418,0.010108240828338,0.00616459131552774,5262,"tags=61%, list=32%, signal=42%","55850/6811/10652/9527/8675/8677/10791/9554/6810/143187/55014/9482/8674/9570/8417/8673/6809/8773/9341/10490/6845/8676"
"KEGG_MTOR_SIGNALING_PATHWAY","KEGG_MTOR_SIGNALING_PATHWAY",44,-0.331210185383028,-1.98195065732076,0.00224270297955215,0.01046594723791,0.00638274142328681,3229,"tags=45%, list=20%, signal=37%","5295/10000/8408/92335/6198/5296/6794/1977/7422/57521/7248/54541/9470/5170/1975/5594/5293/2475/23533/6194"
"KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG_CITRATE_CYCLE_TCA_CYCLE",27,-0.394340656402181,-2.01352081163967,0.00249068541777667,0.011208084379995,0.00683533968036455,7099,"tags=78%, list=43%, signal=44%","5091/3418/3420/6389/5160/1743/1737/5106/8803/4967/8802/6391/5162/3417/2271/3419/50/8801/4190/47/6390"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",59,-0.293877824449562,-1.93069344258668,0.0028383241211284,0.0123320289400751,0.00752078623747271,3229,"tags=41%, list=20%, signal=33%","5295/10000/7410/3937/5580/5581/5296/695/6416/9846/5879/1432/3635/5170/2534/5608/6850/5594/5293/5604/23533/5579/4893/5894"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",95,-0.243182566097103,-1.82329083807175,0.00342357441408728,0.0143790125391666,0.00876915551678498,3229,"tags=37%, list=20%, signal=30%","5295/2214/7410/637/3937/2185/5533/3383/3460/5296/51744/836/5879/962/10870/2534/6850/5532/6452/5594/5293/5604/8795/3106/23533/5579/3105/4893/8743/5894/3107/5058/5777/7305/3133"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",41,-0.322228938898934,-1.88848745415955,0.0048982437520625,0.0197166219811248,0.0120243392199007,4493,"tags=54%, list=27%, signal=39%","7407/123263/2193/3376/80222/79587/23395/8565/1615/51067/2058/51091/55157/6897/4141/833/55699/6301/2617/3735/4677/7453"
"KEGG_RENAL_CELL_CARCINOMA","KEGG_RENAL_CELL_CARCINOMA",61,-0.273144238061236,-1.80073443715363,0.00502841785626968,0.0197166219811248,0.0120243392199007,3312,"tags=39%, list=20%, signal=32%","112398/5295/10000/6921/5296/7428/998/7422/2271/9978/5879/7040/6923/5594/5293/5604/2889/23533/405/1399/4893/5894/5058/5906"
"KEGG_PYRIMIDINE_METABOLISM","KEGG_PYRIMIDINE_METABOLISM",90,-0.242496511909198,-1.77771929588641,0.00516387718553268,0.0197166219811248,0.0120243392199007,7413,"tags=61%, list=45%, signal=34%","1854/10622/7083/5558/50484/5436/5557/23649/978/1723/29922/4832/51727/64425/1635/318/7372/129607/10623/56474/5424/171568/1806/10621/5432/50808/55703/790/5435/5422/957/139596/10201/124583/6240/57804/5440/25885/1633/7378/654364/7084/5426/51251/4831/56655/5431/10714/1890/4860/51082/7296/9583/5430/953"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",35,-0.338629422618096,-1.88655711986923,0.00559126444842805,0.0207205682500569,0.0126366038617724,6089,"tags=66%, list=37%, signal=41%","109/84516/396/5613/5878/5868/79659/10488/9586/1781/1639/1385/6810/5566/64764/397/4905/8655/5567/10540/51143/5869/8766"
"KEGG_CHRONIC_MYELOID_LEUKEMIA","KEGG_CHRONIC_MYELOID_LEUKEMIA",67,-0.260574787504664,-1.75399180966509,0.00648466624930159,0.0233447984974857,0.014237011615008,4491,"tags=45%, list=27%, signal=33%","1870/868/5294/613/3551/5295/10000/861/3065/4193/5296/1488/9846/1021/25/7040/1027/867/1026/5594/5293/5604/6776/7046/23533/1399/4893/5894/6777/7048"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",56,-0.27906965128385,-1.805684984948,0.00695849898862746,0.0243547464601961,0.0148529364377136,7133,"tags=62%, list=43%, signal=35%","533/5336/537/5970/535/10312/10392/5599/1445/90423/8517/9296/3579/6714/51606/3551/9020/523/529/245973/1839/998/23545/6416/528/836/51382/5879/1432/50848/526/9550/8992/5058/3576"
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION",63,-0.269747131783962,-1.79771549954684,0.00745938705894786,0.0254022370115522,0.01549175690763,4856,"tags=49%, list=30%, signal=35%","3553/2353/3108/4615/10454/7099/3684/2214/3113/3127/3460/7189/4689/2212/23118/3676/3123/3654/3109/7040/653361/1432/2209/51135/5594/3122/3115/4688/5579/5743/5777"
"KEGG_OOCYTE_MEIOSIS","KEGG_OOCYTE_MEIOSIS",87,-0.238385955587034,-1.73008146238588,0.0095544114319227,0.0316804168532174,0.0193205549731401,2771,"tags=33%, list=17%, signal=28%","5566/8697/5533/51529/10393/7532/5528/7529/8881/5519/9978/817/51433/5567/25847/5516/5525/5532/801/113/5594/5604/7533/6500/5501/7531/5515/7534/805"
"KEGG_FATTY_ACID_METABOLISM","KEGG_FATTY_ACID_METABOLISM",31,-0.331398755504513,-1.76631089310567,0.0104760340638769,0.0329995073012121,0.0201250128069213,6476,"tags=65%, list=39%, signal=39%","3033/1375/1374/34/1892/8310/128/1632/3032/223/2180/2181/36/37/38/51703/30/10449/51/3030"
"KEGG_N_GLYCAN_BIOSYNTHESIS","KEGG_N_GLYCAN_BIOSYNTHESIS",42,-0.294195516852079,-1.74161650272217,0.0104241951396789,0.0329995073012121,0.0201250128069213,5263,"tags=55%, list=32%, signal=37%","57134/54344/11282/85365/2530/440138/4247/79796/79087/29929/91869/4121/11253/84920/11320/29880/4124/2683/8813/4249/4122/6185/6184"
"KEGG_PPAR_SIGNALING_PATHWAY","KEGG_PPAR_SIGNALING_PATHWAY",40,-0.309656863186102,-1.80617322752888,0.0120325630633977,0.0369781206338564,0.0225514018903218,7393,"tags=70%, list=45%, signal=39%","6256/4973/10062/10999/1375/1374/34/336/948/8310/6319/5468/5360/2171/6257/5467/2180/5106/9415/2181/5465/7316/51703/6342/1593/30/5170/51"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",54,-0.271185243450747,-1.73031036191474,0.0157014995604188,0.0471044986812563,0.0287270543335983,6968,"tags=61%, list=42%, signal=35%","4671/29108/5970/4793/10392/5599/84674/8517/3553/58484/10454/3551/114548/329/330/3606/7189/23118/3326/64170/841/7184/1432/22900/10910/22861/8767/5594/9051/64127/4210/3320/3576"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",27,-0.338719491262348,-1.72951668536343,0.0168854822236531,0.0494783897716348,0.0301747907546311,6735,"tags=67%, list=41%, signal=39%","6611/259307/2805/1788/3939/23382/4507/1786/262/55256/51074/2806/58478/4548/4144/3945/10768/27430"
